Name	Link
Marcus Tavernier	/en/players/5c0da4a4/Marcus-Tavernier
Charlie Taylor	/en/players/cc2d7ad5/Charlie-Taylor
Kenny Tete	/en/players/77d7c96f/Kenny-Tete
Luke Thomas	/en/players/fc027d02/Luke-Thomas
Youri Tielemans	/en/players/56f7a928/Youri-Tielemans
Jurri\xc3\xabn Timber	/en/players/41034650/Jurrien-Timber
Harry Toffolo	/en/players/a105d46a/Harry-Toffolo
Takehiro Tomiyasu	/en/players/b3af9be1/Takehiro-Tomiyasu
James Tomkins	/en/players/e7ca0439/James-Tomkins
Sandro Tonali	/en/players/0db169ae/Sandro-Tonali
Pau Torres	/en/players/532e1e4f/Pau-Torres
Andros Townsend	/en/players/b28bbd58/Andros-Townsend
James Trafford	/en/players/259fea27/James-Trafford
Adama Traor\xc3\xa9	/en/players/9a28eba4/Adama-Traore
Bertrand Traor\xc3\xa9	/en/players/c47541e0/Bertrand-Traore
Boubacar Traor\xc3\xa9	/en/players/999ceb5f/Boubacar-Traore
Mike Tr\xc3\xa9sor	/en/players/b2a81fc6/Mike-Tresor
Kieran Trippier	/en/players/21512407/Kieran-Trippier
Leandro Trossard	/en/players/38ceb24a/Leandro-Trossard
Auston Trusty	/en/players/cddf767b/Auston-Trusty
Kostas Tsimikas	/en/players/f315ca93/Kostas-Tsimikas
Matt Turner	/en/players/4a51ba65/Matt-Turner
Destiny Udogie	/en/players/7cd520e8/Destiny-Udogie
Lesley Ugochukwu	/en/players/1df4a109/Lesley-Ugochukwu
Virgil van Dijk	/en/players/e06683ca/Virgil-van-Dijk
Rapha\xc3\xabl Varane	/en/players/9f8e9423/Raphael-Varane
Alejo V\xc3\xa9liz	/en/players/3f7bafbe/Alejo-Veliz
Jo\xc3\xabl Veltman	/en/players/dad4b285/Joel-Veltman
Micky van de Ven	/en/players/8fe2a392/Micky-van-de-Ven
Bart Verbruggen	/en/players/cf134113/Bart-Verbruggen
Guglielmo Vicario	/en/players/77d6fd4d/Guglielmo-Vicario
Fabio Vieira	/en/players/6412cc03/Fabio-Vieira
Carlos Vin\xc3\xadcius	/en/players/8b529245/Carlos-Vinicius
Vitinho	/en/players/9295dc1c/Vitinho
Odisseas Vlachodimos	/en/players/03df04ff/Odisseas-Vlachodimos
Kyle Walker	/en/players/86dd77d1/Kyle-Walker
Aaron Wan-Bissaka	/en/players/9e525177/Aaron-Wan-Bissaka
Joel Ward	/en/players/8a7ff278/Joel-Ward
James Ward-Prowse	/en/players/3515d404/James-Ward-Prowse
Deivid Washington	/en/players/95bd120d/Deivid-Washington
Ollie Watkins	/en/players/aed3a70f/Ollie-Watkins
Adam Webster	/en/players/c40b6180/Adam-Webster
Danny Welbeck	/en/players/ce5143da/Danny-Welbeck
Ben White	/en/players/35e413f1/Ben-White
Neco Williams	/en/players/dd323728/Neco-Williams
Willian	/en/players/8b9ebd03/Willian
Joe Willock	/en/players/a3b03921/Joe-Willock
Callum Wilson	/en/players/c596fcb0/Callum-Wilson
Harry Wilson	/en/players/c6dc9ecd/Harry-Wilson
Yoane Wissa	/en/players/2500cef9/Yoane-Wissa
Chris Wood	/en/players/4e9a0555/Chris-Wood
Cauley Woodrow	/en/players/d3085b49/Cauley-Woodrow
Joe Worrall	/en/players/a5212312/Joe-Worrall
Yehor Yarmoliuk	/en/players/907a5d7c/Yehor-Yarmoliuk
Ryan Yates	/en/players/c1fe2a48/Ryan-Yates
Ashley Young	/en/players/be927d03/Ashley-Young
Illia Zabarnyi	/en/players/88968486/Illia-Zabarnyi
Nicol\xc3\xb2 Zaniolo	/en/players/9907b1c8/Nicolo-Zaniolo
Anass Zaroury	/en/players/07d65234/Anass-Zaroury
Oleksandr Zinchenko	/en/players/51cf8561/Oleksandr-Zinchenko
Kurt Zouma	/en/players/ce4246f5/Kurt-Zouma
Martin \xc3\x98degaard	/en/players/79300479/Martin-Odegaard
